Q1,2,8,5,1,10,5,9,9,3,5,6,6,2,8,2,2,6,3,8,7,2,5,3,4,3,3,2,7,9,6,8,7,2,9,10,3
Q2,8,10,6,5,4,2,3,4,4,5,2,2,4,9,8,5,3,8,8,10,4,2,10,9,7,6,1,3,9,7,1,3,5,9,7,6
Q3,1,10,1,1,7,2,4,9,10,4,5,5,7,1,7,7,2,9,5,10,7,4,8,9,9,3,10,2,4,6,10,9,5,1,8,7
Q4,4,7,2,6,5,3,1,10,8,4,8,3,7,1,2,7,6,8,6,5,2,3,1,1,2,5,7,1,8,2,8,8,8,8,4,4
Q5,6,10,10,9,2,9,3,7,7,1,4,9,1,2,3,6,1,10,5,8,9,4,6,2,3,1,2,7,5,1,7,2,9,10,9,5
Q6,2,5,4,10,9,9,1,9,8,8,9,4,9,4,8,2,1,8,4,5,10,7,6,2,1,10,10,7,9,4,5,9,5,10,10,3
Q7,6,6,4,4,4,8,5,4,9,1,9,9,1,7,9,2,10,9,10,8,3,3,9,3,9,10,1,8,9,2,6,9,7,2,3,5
Q8,3,6,9,7,3,7,6,4,10,3,5,7,2,9,3,2,2,10,8,7,3,10,6,3,1,1,4,10,2,9,2,10,6,4,3,6
P1,83,86,89,27,18,58,33,33,70,55,22,90,77,30,69,93,26,56,35,50,42,13,46,61,19,54,40,24,80,97,88,30,50,38,67,50
P2,94,96,98,17,87,6,89,83,56,35,15,2,17,72,87,64,14,56,86,54,13,9,33,46,14,57,22,59,47,83,82,45,97,23,30,62
P3,36,51,74,67,45,60,93,40,54,25,55,11,46,50,87,14,75,23,69,19,88,6,59,92,3,26,78,15,15,25,35,75,73,60,34,71
P4,88,98,19,78,74,71,64,69,93,86,3,81,14,28,3,100,28,26,44,25,24,73,62,82,4,33,6,94,26,32,93,43,23,87,65,1
P5,88,61,14,75,71,71,36,34,12,61,97,68,86,51,41,95,96,25,20,26,77,95,59,3,72,67,79,94,52,85,19,65,20,53,1,88
P6,61,27,11,58,71,16,77,28,44,59,65,10,83,87,66,88,78,75,26,28,30,29,24,21,3,63,24,97,38,62,96,26,65,61,3,17
P7,31,27,12,72,12,48,54,21,91,25,89,64,41,52,63,30,1,14,59,79,66,8,78,1,59,40,4,61,58,25,78,9,14,88,2,51
P8,61,29,94,85,6,41,12,5,36,57,73,51,24,86,57,17,27,58,27,58,38,72,70,62,97,23,18,13,18,97,86,42,24,30,30,66
E1,60,33,97,56,54,63,85,35,55,73,58,70,33,64,8,84,12,36,68,49,76,39,24,43,55,12,42,76,60,26,22,71,27,35,6,84
E2,51,99,80,2,94,35,38,35,57,94,77,6,63,49,82,1,14,42,56,56,43,63,12,78,25,79,53,44,97,74,41,14,76,73,19,11
E3,18,33,13,96,70,32,41,89,86,91,98,90,91,46,54,15,52,41,45,59,36,60,93,6,65,82,4,30,76,9,93,98,50,57,62,28
